Cod_Natureza_Despesa;Natureza Despesa;Cod_Natureza_Despesa_Detalhada;Natureza Despesa Detalhada;Cod_Favorecido;Nome Favorecido;DESCRICAO;Mês;Saldo
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;40044357000196;CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTD;DESCRIÇÃO;MAR/2024;968,64 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;51222103000137;COMERCIAL OLIVEIRA FERRAGENS SERTAOZINHO LTDA;DESCRIÇÃO;MAR/2024;1262,54 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;13338681000144;COMERCIAL SPONCHIADO LTDA;DESCRIÇÃO;MAR/2024;1521,74 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;13338681000144;COMERCIAL SPONCHIADO LTDA;DESCRIÇÃO;MAR/2024;1012,07 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;29322621000173;COMERCIO ATACADISTA ILHA BELA DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;614,80 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;10980376000163;DIOGO IANZER VIEDO & CIA LTDA;DESCRIÇÃO;MAR/2024;930,00 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;26950671000107;LICERI COMERCIO DE PRODUTOS EM GERAL LTDA;DESCRIÇÃO;MAR/2024;227,99 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;52333210000103;NOVAX DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;5080,72 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;52333210000103;NOVAX DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;10593,60 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;45309056000160;SILVA DISTRIBUIDORA E FERRAGISTA LTDA;DESCRIÇÃO;MAR/2024;118,64 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;42883960000197;SZATA COMERCIO VAREJISTA LTDA;DESCRIÇÃO;MAR/2024;2182,40 
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;13338681000144;COMERCIAL SPONCHIADO LTDA;DESCRIÇÃO;MAR/2024;256,70 
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;03217016000149;RPF COMERCIAL LTDA;DESCRIÇÃO;MAR/2024;285,80 
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;37227550000158;DELVALLE  MATERIAIS ELETRICOS EIRELI;DESCRIÇÃO;MAR/2024;3874,00 
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;47977771000105;MACROMMERCE LTDA;DESCRIÇÃO;MAR/2024;2541,00 
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;33615509000106;SINCES TECNOLOGIA COMERCIO E SERVICOS LTDA;DESCRIÇÃO;MAR/2024;570,00 
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;19827192000132;CPC COMERCIO E REPRESENTACOES COMERCIAIS LTDA;DESCRIÇÃO;MAR/2024;628,80 
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;26950671000107;LICERI COMERCIO DE PRODUTOS EM GERAL LTDA;DESCRIÇÃO;MAR/2024;543,80 
339030;MATERIAL DE CONSUMO;33903031;SEMENTES, MUDAS DE PLANTAS E INSUMOS;11258338000164;MERCOSUL AGRONEGOCIOS LTDA;DESCRIÇÃO;FEV/2024;1435,80 
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;11395850000152;EVOLUCAO PET - COMERCIO DE PRODUTOS PARA BANHO/TOSA E V;DESCRIÇÃO;MAR/2024;50,00 
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;43820517000130;J.C TELLES LTDA;DESCRIÇÃO;MAR/2024;208,84 
339030;MATERIAL DE CONSUMO;33903036;MATERIAL HOSPITALAR;21153043000187;H. F. E. COMERCIO DE MATERIAL;DESCRIÇÃO;MAR/2024;144,18 
339036;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;33903602;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;158459;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;JAN/2024;0,00 
339036;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;33903602;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;158459;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;JAN/2024;500,00 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;79283065000141;ORBENK ADMINISTRACAO E SERVICOS LTDA.;DESCRIÇÃO;JAN/2024;15412,25 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;79283065000141;ORBENK ADMINISTRACAO E SERVICOS LTDA.;DESCRIÇÃO;FEV/2024;92110,00 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;79283065000141;ORBENK ADMINISTRACAO E SERVICOS LTDA.;DESCRIÇÃO;MAR/2024;3956,55 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;79283065000141;ORBENK ADMINISTRACAO E SERVICOS LTDA.;DESCRIÇÃO;FEV/2024;6695,17 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;79283065000141;ORBENK ADMINISTRACAO E SERVICOS LTDA.;DESCRIÇÃO;MAR/2024;120000,00 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;06059231000157;PARANA LIMP SERVICOS TERCEIRIZADOS LTDA;DESCRIÇÃO;MAR/2024;52650,67 
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;06059231000157;PARANA LIMP SERVICOS TERCEIRIZADOS LTDA;DESCRIÇÃO;JAN/2024;0,00 
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;25117443000198;JL PRESTADOR DE SERVICOS LTDA;DESCRIÇÃO;FEV/2024;23969,24 
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;25117443000198;JL PRESTADOR DE SERVICOS LTDA;DESCRIÇÃO;MAR/2024;10619,08 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903925;TAXA DE ADMINISTRACAO;09198580000148;3E GESTAO E CAPACITACAO DE RECURSOS HUMANOS LTDA;DESCRIÇÃO;JAN/2024;3979,80 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;15340396000193;MAOS PERUANAS RESTAURANTE, LANCHONETE E EVENTOS EIRELI;DESCRIÇÃO;FEV/2024;55000,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;15340396000193;MAOS PERUANAS RESTAURANTE, LANCHONETE E EVENTOS EIRELI;DESCRIÇÃO;MAR/2024;7746,31 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;08336783000190;CELESC DISTRIBUICAO S.A;DESCRIÇÃO;JAN/2024;633,67 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;08336783000190;CELESC DISTRIBUICAO S.A;DESCRIÇÃO;FEV/2024;4612,60 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;08336783000190;CELESC DISTRIBUICAO S.A;DESCRIÇÃO;FEV/2024;29900,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;08336783000190;CELESC DISTRIBUICAO S.A;DESCRIÇÃO;MAR/2024;5000,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;34028316002823;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;DESCRIÇÃO;FEV/2024;1000,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;82508433000117;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO CASAN;DESCRIÇÃO;JAN/2024;1522,16 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;82508433000117;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO CASAN;DESCRIÇÃO;MAR/2024;5485,37 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903947;SERVICOS DE COMUNICACAO EM GERAL;34028316002823;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;DESCRIÇÃO;MAR/2024;832,47 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;76535764000143;OI S.A. - EM RECUPERACAO JUDICIAL;DESCRIÇÃO;FEV/2024;866,47 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;76535764000143;OI S.A. - EM RECUPERACAO JUDICIAL;DESCRIÇÃO;JAN/2024;0,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903969;SEGUROS EM GERAL;90180605000102;GENTE SEGURADORA SA;DESCRIÇÃO;MAR/2024;0,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903969;SEGUROS EM GERAL;33065699000127;SEGUROS SURA S.A.;DESCRIÇÃO;JAN/2024;980,00 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;24169127000105;DEDETIZADORA CASAGRANDE EIRELI;DESCRIÇÃO;JAN/2024;15392,63 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;24169127000105;DEDETIZADORA CASAGRANDE EIRELI;DESCRIÇÃO;MAR/2024;0,01 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;95886735000928;RECICLE CATARINENSE DE RESIDUOS LTDA;DESCRIÇÃO;JAN/2024;36,88 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;95886735000928;RECICLE CATARINENSE DE RESIDUOS LTDA;DESCRIÇÃO;FEV/2024;1608,73 
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;95886735000928;RECICLE CATARINENSE DE RESIDUOS LTDA;DESCRIÇÃO;MAR/2024;70,88 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;07196724000100;INTEGRASUL TECNOLOGIA DA INFORMACAO E COMUNICACAO LTDA;DESCRIÇÃO;FEV/2024;0,00 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;09285968000186;A4 DIGITAL PRINT LTDA;DESCRIÇÃO;JAN/2024;3500,00 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;09285968000186;A4 DIGITAL PRINT LTDA;DESCRIÇÃO;FEV/2024;4578,46 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;09285968000186;A4 DIGITAL PRINT LTDA;DESCRIÇÃO;MAR/2024;821,90 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;26768764000115;CONFIANCA EMPREENDIMENTOS DIGITAL LTDA;DESCRIÇÃO;JAN/2024;73,74 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;26768764000115;CONFIANCA EMPREENDIMENTOS DIGITAL LTDA;DESCRIÇÃO;JAN/2024;147,48 
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;26768764000115;CONFIANCA EMPREENDIMENTOS DIGITAL LTDA;DESCRIÇÃO;MAR/2024;121,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;83102228000110;MUNICIPIO DE ARAQUARI;DESCRIÇÃO;JAN/2024;0,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;83102228000110;MUNICIPIO DE ARAQUARI;DESCRIÇÃO;FEV/2024;0,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;83102228000110;MUNICIPIO DE ARAQUARI;DESCRIÇÃO;FEV/2024;0,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;83102228000110;MUNICIPIO DE ARAQUARI;DESCRIÇÃO;FEV/2024;0,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;83102228000110;MUNICIPIO DE ARAQUARI;DESCRIÇÃO;MAR/2024;0,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;27150549000119;MUNICIPIO DE CARIACICA;DESCRIÇÃO;JAN/2024;0,00 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;08336783000190;CELESC DISTRIBUICAO S.A;DESCRIÇÃO;FEV/2024;4161,09 
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;08336783000190;CELESC DISTRIBUICAO S.A;DESCRIÇÃO;FEV/2024;4178,19 
