COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;MAR/2024;03/2024;0;1.585,04;0,00%;0,05%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;MAR/2024;03/2024;1.600,01;3.058,24;0,05%;0,10%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;MAR/2024;03/2024;10.000,00;4.514,63;0,34%;0,15%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;MAR/2024;03/2024;28.011,09;4.562,05;0,94%;0,15%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;MAR/2024;03/2024;6.700,00;4.582,41;0,22%;0,15%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;MAR/2024;03/2024;9.200,00;4.600,00;0,31%;0,15%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;MAR/2024;03/2024;5.000,55;7.779,92;0,17%;0,26%
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;MAR/2024;03/2024;1.536,15;23.983,30;0,05%;0,80%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;MAR/2024;03/2024;24.000,00;31.400,25;0,81%;1,05%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;MAR/2024;03/2024;39.000,00;39.742,26;1,31%;1,33%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;MAR/2024;03/2024;80.000,00;132.986,44;2,68%;4,46%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;MAR/2024;03/2024;279.000,00;285.595,68;9,36%;9,58%
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;MAR/2024;03/2024;974,77;0;0,03%;0
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;MAR/2024;03/2024;2.583,00;0;0,09%;0
339030;MATERIAL DE CONSUMO;33903019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;MAR/2024;03/2024;1,88;0;0,00%;0
339030;MATERIAL DE CONSUMO;33903022;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;MAR/2024;03/2024;103,6;0;0,00%;0
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;MAR/2024;03/2024;542,5;0;0,02%;0
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;MAR/2024;03/2024;6.985,00;0;0,23%;0
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;MAR/2024;03/2024;1.172,60;0;0,04%;0
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;MAR/2024;03/2024;258,84;0;0,01%;0
339030;MATERIAL DE CONSUMO;33903036;MATERIAL HOSPITALAR;MAR/2024;03/2024;144,18;0;0,00%;0
339030;MATERIAL DE CONSUMO;33903042;FERRAMENTAS;MAR/2024;03/2024;112,7;0;0,00%;0
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;MAR/2024;03/2024;121;0;0,00%;0
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;ABR/2024;04/2024;54.000,00;0;1,81%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;ABR/2024;04/2024;300.000,00;0;10,07%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;ABR/2024;04/2024;78.000,00;0;2,62%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;ABR/2024;04/2024;15.000,00;0;0,50%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903947;SERVICOS DE COMUNICACAO EM GERAL;ABR/2024;04/2024;0;0;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;ABR/2024;04/2024;4.587,36;0;0,15%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;ABR/2024;04/2024;0;0;0,00%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;ABR/2024;04/2024;0;0;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;ABR/2024;04/2024;7,97;0;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;ABR/2024;04/2024;0;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903031;SEMENTES, MUDAS DE PLANTAS E INSUMOS;ABR/2024;04/2024;0;119,94;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;ABR/2024;04/2024;0;172,5;0,00%;0,01%
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;ABR/2024;04/2024;0;208,84;0,00%;0,01%
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;ABR/2024;04/2024;0;256,7;0,00%;0,01%
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;ABR/2024;04/2024;0;402,22;0,00%;0,01%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;ABR/2024;04/2024;5.000,00;567,41;0,17%;0,02%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;ABR/2024;04/2024;2.100,00;748,43;0,07%;0,03%
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;ABR/2024;04/2024;0;1.172,60;0,00%;0,04%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904710;TAXAS;ABR/2024;04/2024;1.643,07;1.643,07;0,06%;0,06%
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;ABR/2024;04/2024;0;2.460,00;0,00%;0,08%
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;ABR/2024;04/2024;0;3.111,00;0,00%;0,10%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;ABR/2024;04/2024;52.800,00;10.900,00;1,77%;0,37%
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;ABR/2024;04/2024;48.409,28;11.750,00;1,62%;0,39%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;ABR/2024;04/2024;0;20.158,76;0,00%;0,68%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;ABR/2024;04/2024;455.000,00;50.332,16;15,27%;1,69%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903916;MANUTENCAO E CONSERV. DE BENS IMOVEIS;ABR/2024;04/2024;1.990,59;0;0,07%;0
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;ABR/2024;04/2024;73,74;0;0,00%;0
